1515814479.449	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.datatype.jackson-datatype-jsr310	info	BundleEvent INSTALLED
1515814479.449	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-jaxrs-base-2.8.3.jar'.
1515814479.449	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-jaxrs-base-2.8.3.jar'.
1515814479.478	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.jaxrs.jackson-jaxrs-base	info	BundleEvent INSTALLED
1515814479.478	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-jaxrs-json-provider-2.8.3.jar'.
1515814479.478	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-jaxrs-json-provider-2.8.3.jar'.
1515814479.480	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.jaxrs.jackson-jaxrs-json-provider	info	BundleEvent INSTALLED
1515814479.480	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-module-jaxb-annotations-2.8.3.jar'.
1515814479.480	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-module-jaxb-annotations-2.8.3.jar'.
1515814479.482	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.module.jackson-module-jaxb-annotations	info	BundleEvent INSTALLED
1515814479.482	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'javassist-3.20.0-GA.jar'.
1515814479.482	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/javassist-3.20.0-GA.jar'.
1515814479.486	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	javassist	info	BundleEvent INSTALLED
1515814479.486	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'javax.ws.rs-api-2.0.1.jar'.
1515814479.486	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/javax.ws.rs-api-2.0.1.jar'.
1515814479.488	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	javax.ws.rs-api	info	BundleEvent INSTALLED
1515814479.488	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jersey-client-2.23.2.jar'.
1515814479.488	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jersey-client-2.23.2.jar'.
1515814479.490	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.glassfish.jersey.core.jersey-client	info	BundleEvent INSTALLED
1515814479.490	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jersey-common-2.23.2.jar'.
